
2022/08/02 (18:24:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:24:44) | ===> btop++ v.1.2.7
2022/08/02 (18:24:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:27:46) | ===> btop++ v.1.2.7
2022/08/02 (18:27:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:28:23) | ===> btop++ v.1.2.7
2022/08/02 (18:28:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:33:18) | ===> btop++ v.1.2.7
2022/08/02 (18:33:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:35:05) | ===> btop++ v.1.2.7
2022/08/02 (18:35:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:38:11) | ===> btop++ v.1.2.7
2022/08/02 (18:38:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (18:46:05) | ===> btop++ v.1.2.7
2022/08/02 (18:46:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (22:23:17) | ===> btop++ v.1.2.7
2022/08/02 (22:23:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/02 (22:28:55) | ===> btop++ v.1.2.7
2022/08/02 (22:28:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/03 (16:35:09) | ===> btop++ v.1.2.7
2022/08/03 (16:35:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/03 (16:39:16) | ===> btop++ v.1.2.7
2022/08/03 (16:39:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/03 (17:03:24) | ===> btop++ v.1.2.7
2022/08/03 (17:03:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/03 (17:53:21) | ===> btop++ v.1.2.7
2022/08/03 (17:53:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (02:24:11) | ===> btop++ v.1.2.7
2022/08/04 (02:24:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (11:09:07) | ===> btop++ v.1.2.7
2022/08/04 (11:09:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (11:38:57) | ===> btop++ v.1.2.7
2022/08/04 (11:38:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (14:33:17) | ===> btop++ v.1.2.7
2022/08/04 (14:33:17) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (17:17:29) | ===> btop++ v.1.2.7
2022/08/04 (17:17:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (18:36:16) | ===> btop++ v.1.2.7
2022/08/04 (18:36:16) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (22:02:56) | ===> btop++ v.1.2.7
2022/08/04 (22:02:56) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/08/04 (22:05:31) | ===> btop++ v.1.2.7
